Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2020,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",null,41.37
2020,Canada,Wastewater,"Rural municipalities, population 5,000 or more",null,57.96
2020,Canada,Solid waste,All municipalities,null,27.05
2020,Canada,Solid waste,All urban municipalities,null,35.28
2020,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",null,30.72
2020,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",null,36.11
2020,Canada,Solid waste,"Urban municipalities, population 30,000 or more",null,43.21
2020,Canada,Solid waste,All rural municipalities,null,24.86
2020,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",null,23.85
2020,Canada,Solid waste,"Rural municipalities, population 5,000 or more",null,32.91
2020,Newfoundland and Labrador,Potable water,All municipalities,10,50.6
2020,Newfoundland and Labrador,Potable water,All urban municipalities,10,68
2020,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",10,54.55
2020,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",10,76.92
2020,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",10,100
2020,Newfoundland and Labrador,Potable water,All rural municipalities,10,48.21
2020,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",10,48.64
2020,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",10,25
2020,Newfoundland and Labrador,Stormwater,All municipalities,10,54.64
2020,Newfoundland and Labrador,Stormwater,All urban municipalities,10,83.33
2020,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",10,80
2020,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",10,84.62
2020,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",10,100
2020,Newfoundland and Labrador,Stormwater,All rural municipalities,10,50.31
2020,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",10,50.32
2020,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",10,75
2020,Newfoundland and Labrador,Wastewater,All municipalities,10,57.45
2020,Newfoundland and Labrador,Wastewater,All urban municipalities,10,80
2020,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 1 to 4,999",10,72.73
2020,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 5,000 to 29,999",10,84.62
2020,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 30,000 or more",10,100
2020,Newfoundland and Labrador,Wastewater,All rural municipalities,10,54.76
2020,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 1 to 4,999",10,54.37
2020,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 5,000 or more",10,75
2020,Newfoundland and Labrador,Solid waste,All municipalities,10,27.93
2020,Newfoundland and Labrador,Solid waste,All urban municipalities,10,35
2020,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",10,0
2020,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",10,45.45
2020,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",10,100
2020,Newfoundland and Labrador,Solid waste,All rural municipalities,10,27.04
2020,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",10,25.48
2020,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",10,100
2020,Prince Edward Island,Potable water,All municipalities,11,88.89
2020,Prince Edward Island,Potable water,All urban municipalities,11,100
2020,Prince Edward Island,Potable water,"Urban municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Potable water,"Urban municipalities, population 5,000 to 29,999",11,100
2020,Prince Edward Island,Potable water,"Urban municipalities, population 30,000 or more",11,0
2020,Prince Edward Island,Potable water,All rural municipalities,11,90.91
2020,Prince Edward Island,Potable water,"Rural municipalities, population 1 to 4,999",11,100
2020,Prince Edward Island,Potable water,"Rural municipalities, population 5,000 or more",11,0
2020,Prince Edward Island,Stormwater,All municipalities,11,50
2020,Prince Edward Island,Stormwater,All urban municipalities,11,60
2020,Prince Edward Island,Stormwater,"Urban municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Stormwater,"Urban municipalities, population 5,000 to 29,999",11,0
2020,Prince Edward Island,Stormwater,"Urban municipalities, population 30,000 or more",11,0
2020,Prince Edward Island,Stormwater,All rural municipalities,11,0
2020,Prince Edward Island,Stormwater,"Rural municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Stormwater,"Rural municipalities, population 5,000 or more",11,0
2020,Prince Edward Island,Wastewater,All municipalities,11,79.41
2020,Prince Edward Island,Wastewater,All urban municipalities,11,83.33
2020,Prince Edward Island,Wastewater,"Urban municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Wastewater,"Urban municipalities, population 5,000 to 29,999",11,100
2020,Prince Edward Island,Wastewater,"Urban municipalities, population 30,000 or more",11,0
2020,Prince Edward Island,Wastewater,All rural municipalities,11,78.57
2020,Prince Edward Island,Wastewater,"Rural municipalities, population 1 to 4,999",11,84
2020,Prince Edward Island,Wastewater,"Rural municipalities, population 5,000 or more",11,0
2020,Prince Edward Island,Solid waste,All municipalities,11,0
2020,Prince Edward Island,Solid waste,All urban municipalities,11,0
2020,Prince Edward Island,Solid waste,"Urban municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Solid waste,"Urban municipalities, population 5,000 to 29,999",11,0
2020,Prince Edward Island,Solid waste,"Urban municipalities, population 30,000 or more",11,0
2020,Prince Edward Island,Solid waste,All rural municipalities,11,0
2020,Prince Edward Island,Solid waste,"Rural municipalities, population 1 to 4,999",11,0
2020,Prince Edward Island,Solid waste,"Rural municipalities, population 5,000 or more",11,0
2020,Nova Scotia,Potable water,All municipalities,12,72.41
2020,Nova Scotia,Potable water,All urban municipalities,12,66.67
2020,Nova Scotia,Potable water,"Urban municipalities, population 1 to 4,999",12,72.73
2020,Nova Scotia,Potable water,"Urban municipalities, population 5,000 to 29,999",12,66.67
2020,Nova Scotia,Potable water,"Urban municipalities, population 30,000 or more",12,0
2020,Nova Scotia,Potable water,All rural municipalities,12,81.82
2020,Nova Scotia,Potable water,"Rural municipalities, population 1 to 4,999",12,75
2020,Nova Scotia,Potable water,"Rural municipalities, population 5,000 or more",12,100
